asset,address,amount
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xef13D48C16Da25a7D527D5f572A3dcE53208A79B,903978635971569920
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x27C5BeD2CA6096C611C72BF0B4C8109Eeec1fA4F,56476966810369168
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdDFF071444F42372B414AB6d269285E95489C09E,564986647482231168
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x597c0Ac5058cbFc0727cAcE3561a6C2CD9389290,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE345aDE1a9a79138f3F10387F9dAb698a50DACD0,56479731307091592
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x43d55ec178e0a7561FCf7169F35fb36b044AB107,282384834051845824
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3b6CCE32ba37fA5689Fab313371Dcf044ECeF536,112953933620738336
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa3e050f0708b10CD64Ad4cEAC0386C304b6F82B7,56658507841537480
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x43d55ec178e0a7561FCf7169F35fb36b044AB107,56476966810369168
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x43d55ec178e0a7561FCf7169F35fb36b044AB107,282735065933817376
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xD55F189478e546Cb368394D5048231A6ba26c099,1350000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xf8A5cdA43918f3560E3d7B872A42FcCF54851986,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4f217e05EA36686DAEe0163B46983c0EDa8a2E6f,56564072009834608
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xDf19C0D8e341dD8F047C5Fd6aD6404cb1f354238,450000000
